id,titulo,anio,estado_juego,vinculo_preliminar,fuente,url,nota,estado_triage,ficha_id,origen,origen_ref,fecha_estado,motivo_decision,eje_sugerido,ejes_culturales_sugeridos,notas_triage
concerto-on-white-cajon-story-marimbeira-music-pack,Concerto on White: Cajon Story - Marimbeira Music Pack,,publicado,escenario,https://store.steampowered.com/app/4499080/,https://store.steampowered.com/app/4499080/,Candidato Steam app 4499080.,descartado,,csv_legacy,,2026-08-03,steam auto-descartado; terminos: tango,escenario,,steam auto-descartado; terminos: tango
constellation-tango,Constellation Tango,,publicado,escenario,https://store.steampowered.com/app/1721360/,https://store.steampowered.com/app/1721360/,Candidato Steam app 1721360.,descartado,,csv_legacy,,2026-08-03,juego base; jurisdicción: Ciudad Autónoma de Buenos Aires,escenario,,triage: juego base; jurisdicción: Ciudad Autónoma de Buenos Aires
contractors-showdown-exfilzone-johnny-s-secret-stash,Contractors Showdown : ExfilZone - Johnny's secret stash,,publicado,escenario,https://store.steampowered.com/app/3682240/,https://store.steampowered.com/app/3682240/,Candidato Steam app 3682240.,descartado,,csv_legacy,,2026-08-03,tipo Steam: dlc,escenario,,triage: tipo Steam: dlc
country-pack-hearts-of-iron-iv-trial-of-allegiance,Country Pack - Hearts of Iron IV: Trial of Allegiance,,publicado,escenario,https://store.steampowered.com/app/2695150/,https://store.steampowered.com/app/2695150/,Candidato Steam app 2695150.,descartado,,csv_legacy,,2026-08-03,steam auto-descartado; terminos: argentina,escenario,,steam auto-descartado; terminos: argentina
craftomation-101-programming-craft,Craftomation 101: Programming & Craft,,publicado,escenario,https://store.steampowered.com/app/1724140/,https://store.steampowered.com/app/1724140/,Candidato Steam app 1724140.,descartado,,csv_legacy,,2026-08-03,juego base; solo ruido mate/tango/santa fe,escenario,,triage: juego base; solo ruido mate/tango/santa fe
crate-mates,Crate Mates,,publicado,escenario,https://store.steampowered.com/app/1750600/,https://store.steampowered.com/app/1750600/,Candidato Steam app 1750600.,descartado,,csv_legacy,,2026-08-03,juego base; solo ruido mate/tango/santa fe,escenario,,triage: juego base; solo ruido mate/tango/santa fe
crossout-assault-force-tango-1,Crossout - Assault Force: Tango-1,,publicado,escenario,https://store.steampowered.com/app/1276340/,https://store.steampowered.com/app/1276340/,Candidato Steam app 1276340.,descartado,,csv_legacy,,2026-08-03,tipo Steam: dlc,escenario,,triage: tipo Steam: dlc
cumbia-villera-el-ritmo,Cumbia Villera: El Ritmo,,prototipo,escenario,https://itch.io/search?q=cumbia+argentina,,Ritmo y cultura villera.,descartado,,csv_legacy,,2026-08-03,; sin app_id Steam,escenario,cultura_urbana;musica,; sin app_id Steam
cw-chaco-war,CW: Chaco War,,publicado,escenario,https://store.steampowered.com/app/634810/,https://store.steampowered.com/app/634810/,Candidato Steam app 634810.,descartado,,csv_legacy,,2026-08-03,juego base; jurisdicción: Chaco,escenario,,triage: juego base; jurisdicción: Chaco
cw-chaco-war-demo,CW: Chaco War Demo,,publicado,escenario,https://store.steampowered.com/app/634820/,https://store.steampowered.com/app/634820/,Candidato Steam app 634820.,descartado,,csv_legacy,,2026-08-03,steam auto-descartado; terminos: chaco,escenario,,steam auto-descartado; terminos: chaco
dakar-18-ari-vatanen-peugeot-205-turbo-16,Dakar 18 - Ari Vatanen / Peugeot 205 Turbo 16,,publicado,escenario,https://store.steampowered.com/app/905310/,https://store.steampowered.com/app/905310/,Candidato Steam app 905310.,descartado,,csv_legacy,,2026-08-03,tipo Steam: dlc,escenario,,triage: tipo Steam: dlc
dakar-18-desafio-inca-rally,Dakar 18 - Desafío Inca Rally,,publicado,escenario,https://store.steampowered.com/app/989741/,https://store.steampowered.com/app/989741/,Candidato Steam app 989741.,descartado,,csv_legacy,,2026-08-03,tipo Steam: dlc,escenario,,triage: tipo Steam: dlc
dakar-18-desafio-ruta-40-rally,Dakar 18 - Desafío Ruta 40 Rally,,publicado,escenario,https://store.steampowered.com/app/989740/,https://store.steampowered.com/app/989740/,Candidato Steam app 989740.,descartado,,csv_legacy,,2026-08-03,tipo Steam: dlc,escenario,,triage: tipo Steam: dlc
dakar-desert-rally-audi-rs-q-e-tron-hybrid-car,Dakar Desert Rally - Audi RS Q e-tron Hybrid Car,,publicado,escenario,https://store.steampowered.com/app/2104840/,https://store.steampowered.com/app/2104840/,Candidato Steam app 2104840.,descartado,,csv_legacy,,2026-08-03,tipo Steam: dlc,escenario,,triage: tipo Steam: dlc
dakar-desert-rally-classics-vehicle-pack-1,Dakar Desert Rally - Classics Vehicle Pack #1,,publicado,escenario,https://store.steampowered.com/app/2173080/,https://store.steampowered.com/app/2173080/,Candidato Steam app 2173080.,descartado,,csv_legacy,,2026-08-03,steam auto-descartado; terminos: dakar,escenario,,steam auto-descartado; terminos: dakar
dakar-desert-rally-classics-vehicle-pack-2,Dakar Desert Rally - Classics Vehicle Pack #2,,publicado,escenario,https://store.steampowered.com/app/2173090/,https://store.steampowered.com/app/2173090/,Candidato Steam app 2173090.,descartado,,csv_legacy,,2026-08-03,steam auto-descartado; terminos: dakar,escenario,,steam auto-descartado; terminos: dakar
dakar-desert-rally-hybrid-vehicle-pack,Dakar Desert Rally - Hybrid Vehicle Pack,,publicado,escenario,https://store.steampowered.com/app/2173100/,https://store.steampowered.com/app/2173100/,Candidato Steam app 2173100.,descartado,,csv_legacy,,2026-08-03,steam auto-descartado; terminos: dakar,escenario,,steam auto-descartado; terminos: dakar
dakar-desert-rally-legends-pack,Dakar Desert Rally - Legends Pack,,publicado,escenario,https://store.steampowered.com/app/2154020/,https://store.steampowered.com/app/2154020/,Candidato Steam app 2154020.,descartado,,csv_legacy,,2026-08-03,steam auto-descartado; terminos: dakar,escenario,,steam auto-descartado; terminos: dakar
dakar-desert-rally-saudi-arabia-map-extension,Dakar Desert Rally - Saudi Arabia Map Extension,,publicado,escenario,https://store.steampowered.com/app/2104841/,https://store.steampowered.com/app/2104841/,Candidato Steam app 2104841.,descartado,,csv_legacy,,2026-08-03,tipo Steam: dlc,escenario,,triage: tipo Steam: dlc
dakar-desert-rally-season-pass,Dakar Desert Rally - Season Pass,,publicado,escenario,https://store.steampowered.com/app/2175710/,https://store.steampowered.com/app/2175710/,Candidato Steam app 2175710.,descartado,,csv_legacy,,2026-08-03,tipo Steam: dlc,escenario,,triage: tipo Steam: dlc
dakar-desert-rally-snowrunner-cars-pack,Dakar Desert Rally - SnowRunner Cars Pack,,publicado,escenario,https://store.steampowered.com/app/2307510/,https://store.steampowered.com/app/2307510/,Candidato Steam app 2307510.,descartado,,csv_legacy,,2026-08-03,steam auto-descartado; terminos: dakar,escenario,,steam auto-descartado; terminos: dakar
dakar-desert-rally-snowrunner-trucks-pack,Dakar Desert Rally - SnowRunner Trucks Pack,,publicado,escenario,https://store.steampowered.com/app/2173060/,https://store.steampowered.com/app/2173060/,Candidato Steam app 2173060.,descartado,,csv_legacy,,2026-08-03,steam auto-descartado; terminos: dakar,escenario,,steam auto-descartado; terminos: dakar
dakar-desert-rally-usa-tour,Dakar Desert Rally - USA Tour,,publicado,escenario,https://store.steampowered.com/app/2173110/,https://store.steampowered.com/app/2173110/,Candidato Steam app 2173110.,descartado,,csv_legacy,,2026-08-03,tipo Steam: dlc,escenario,,triage: tipo Steam: dlc
dance-dance-detective,Dance Dance Detective,,publicado,escenario,https://store.steampowered.com/app/4273950/,https://store.steampowered.com/app/4273950/,Candidato Steam app 4273950.,descartado,,csv_legacy,,2026-08-03,juego base; jurisdicción: Ciudad Autónoma de Buenos Aires,escenario,,triage: juego base; jurisdicción: Ciudad Autónoma de Buenos Aires
dance-dance-detective-demo,Dance Dance Detective Demo,,publicado,escenario,https://store.steampowered.com/app/4291260/,https://store.steampowered.com/app/4291260/,Candidato Steam app 4291260.,descartado,,csv_legacy,,2026-08-03,steam auto-descartado; terminos: tango,escenario,,steam auto-descartado; terminos: tango
dark-rage,Dark Rage,1997,publicado,protagonista,https://www.abandonsocios.org/wiki/Conde_Entertainment_Software,,Shoot'em up comercial de la primera ola de videojuegos argentinos junto a Regnum y Malvinas 2032.,descartado,,csv_legacy,,2026-08-03,Primer shoot'em up comercial argentino sin vínculo temático con Argentina (solo origen del desarrollo),protagonista,,
dark-rage-1997,Dark Rage,,,,,,,descartado,,csv_legacy,,2026-08-03,Primer shoot'em up comercial argentino sin vínculo temático con Argentina (solo origen del desarrollo),,,
dcs-ch-47f,DCS: CH-47F,,publicado,escenario,https://store.steampowered.com/app/2943690/,https://store.steampowered.com/app/2943690/,Candidato Steam app 2943690.,descartado,,csv_legacy,,2026-08-03,tipo Steam: dlc,escenario,,triage: tipo Steam: dlc
dcs-mb-339,DCS: MB-339,,publicado,escenario,https://store.steampowered.com/app/2147490/,https://store.steampowered.com/app/2147490/,Candidato Steam app 2147490.,descartado,,csv_legacy,,2026-08-03,tipo Steam: dlc,escenario,,triage: tipo Steam: dlc
dead-by-wheel-battle-royal,Dead by Wheel: Battle Royal,,publicado,escenario,https://store.steampowered.com/app/936770/,https://store.steampowered.com/app/936770/,Candidato Steam app 936770.,descartado,,csv_legacy,,2026-08-03,juego base; jurisdicción: Misiones,escenario,,triage: juego base; jurisdicción: Misiones
dear-future,Dear Future,,publicado,escenario,https://store.steampowered.com/app/1591300/,https://store.steampowered.com/app/1591300/,Candidato Steam app 1591300.,descartado,,csv_legacy,,2026-08-03,juego base; jurisdicción: Santa Cruz,escenario,,triage: juego base; jurisdicción: Santa Cruz
death-skid-marks,Death Skid Marks,,publicado,escenario,https://store.steampowered.com/app/326150/,https://store.steampowered.com/app/326150/,Candidato Steam app 326150.,descartado,,csv_legacy,,2026-08-03,juego base; jurisdicción: Ciudad Autónoma de Buenos Aires,escenario,,triage: juego base; jurisdicción: Ciudad Autónoma de Buenos Aires
death-skid-marks-soundtrack,Death Skid Marks Soundtrack,,publicado,escenario,https://store.steampowered.com/app/326300/,https://store.steampowered.com/app/326300/,Candidato Steam app 326300.,descartado,,csv_legacy,,2026-08-03,steam auto-descartado; terminos: tango,escenario,,steam auto-descartado; terminos: tango
debate-mortal,Debate Mortal,2019,publicado,protagonista,https://archive.org/search?query=debate+mortal+argentina,,Flash/HTML5: Macri vs Cristina vs Alberto.,descartado,,csv_legacy,,2026-08-03,sensibilidad alta; verificar URL; sin app_id Steam,protagonista,politica;satira,sensibilidad alta; verificar URL; sin app_id Steam
design-it-drive-it-speedboats,"Design it, Drive it : Speedboats",,publicado,escenario,https://store.steampowered.com/app/501090/,https://store.steampowered.com/app/501090/,Candidato Steam app 501090.,descartado,,csv_legacy,,2026-08-03,juego base; jurisdicción: San Juan,escenario,,triage: juego base; jurisdicción: San Juan
desktop-mate,Desktop Mate,,publicado,escenario,https://store.steampowered.com/app/3301060/,https://store.steampowered.com/app/3301060/,Candidato Steam app 3301060.,descartado,,csv_legacy,,2026-08-03,juego base; solo ruido mate/tango/santa fe,escenario,,triage: juego base; solo ruido mate/tango/santa fe
desktop-mate-cinnamoroll-dlc,Desktop Mate CINNAMOROLL DLC,,publicado,escenario,https://store.steampowered.com/app/4145040/,https://store.steampowered.com/app/4145040/,Candidato Steam app 4145040.,descartado,,csv_legacy,,2026-08-03,steam auto-descartado; terminos: mate,escenario,,steam auto-descartado; terminos: mate
desktop-mate-gumi-dlc,Desktop Mate GUMI DLC,,publicado,escenario,https://store.steampowered.com/app/4145000/,https://store.steampowered.com/app/4145000/,Candidato Steam app 4145000.,descartado,,csv_legacy,,2026-08-03,steam auto-descartado; terminos: mate,escenario,,steam auto-descartado; terminos: mate
desktop-mate-hanakuma-chifuyu-dlc,Desktop Mate Hanakuma Chifuyu DLC,,publicado,escenario,https://store.steampowered.com/app/3941630/,https://store.steampowered.com/app/3941630/,Candidato Steam app 3941630.,descartado,,csv_legacy,,2026-08-03,steam auto-descartado; terminos: mate,escenario,,steam auto-descartado; terminos: mate
desktop-mate-hello-kitty-dlc,Desktop Mate HELLO KITTY DLC,,publicado,escenario,https://store.steampowered.com/app/4145070/,https://store.steampowered.com/app/4145070/,Candidato Steam app 4145070.,descartado,,csv_legacy,,2026-08-03,steam auto-descartado; terminos: mate,escenario,,steam auto-descartado; terminos: mate
